id,dataset,scene_name,question_type,question,ground_truth,options
0,arkitscenes,41069025,object_counting,How many table(s) are in this room?,4,
1,arkitscenes,41069025,object_counting,How many chair(s) are in this room?,2,
2,arkitscenes,41069043,object_counting,How many table(s) are in this room?,2,
3,arkitscenes,41125700,object_counting,How many sofa(s) are in this room?,2,
4,arkitscenes,41125700,object_counting,How many table(s) are in this room?,3,
5,arkitscenes,41125700,object_counting,How many chair(s) are in this room?,4,
7,arkitscenes,41159525,object_counting,How many stool(s) are in this room?,2,
8,arkitscenes,41159525,object_counting,How many chair(s) are in this room?,2,
9,arkitscenes,41159541,object_counting,How many sofa(s) are in this room?,2,
10,arkitscenes,41159541,object_counting,How many table(s) are in this room?,3,
11,arkitscenes,41159541,object_counting,How many chair(s) are in this room?,9,
12,arkitscenes,41159572,object_counting,How many sofa(s) are in this room?,4,
13,arkitscenes,41159572,object_counting,How many table(s) are in this room?,2,
14,arkitscenes,41254432,object_counting,How many sofa(s) are in this room?,2,
15,arkitscenes,42444976,object_counting,How many chair(s) are in this room?,3,
16,arkitscenes,42445981,object_counting,How many sofa(s) are in this room?,2,
17,arkitscenes,42445981,object_counting,How many table(s) are in this room?,4,
18,arkitscenes,42445981,object_counting,How many chair(s) are in this room?,5,
19,arkitscenes,42445984,object_counting,How many chair(s) are in this room?,12,
20,arkitscenes,42446056,object_counting,How many chair(s) are in this room?,3,
21,arkitscenes,42446056,object_counting,How many table(s) are in this room?,2,
22,arkitscenes,42446103,object_counting,How many sofa(s) are in this room?,2,
23,arkitscenes,42446103,object_counting,How many table(s) are in this room?,2,
24,arkitscenes,42446103,object_counting,How many chair(s) are in this room?,3,
25,arkitscenes,42446151,object_counting,How many sofa(s) are in this room?,4,
26,arkitscenes,42446151,object_counting,How many stool(s) are in this room?,2,
27,arkitscenes,42446151,object_counting,How many table(s) are in this room?,2,
28,arkitscenes,42446517,object_counting,How many table(s) are in this room?,3,
29,arkitscenes,42446517,object_counting,How many bed(s) are in this room?,2,
30,arkitscenes,42446541,object_counting,How many table(s) are in this room?,3,
31,arkitscenes,42446541,object_counting,How many chair(s) are in this room?,4,
32,arkitscenes,42446541,object_counting,How many sofa(s) are in this room?,2,
33,arkitscenes,42897508,object_counting,How many sofa(s) are in this room?,2,
34,arkitscenes,42897538,object_counting,How many sofa(s) are in this room?,2,
35,arkitscenes,42897538,object_counting,How many table(s) are in this room?,3,
36,arkitscenes,42897564,object_counting,How many chair(s) are in this room?,7,
37,arkitscenes,42897629,object_counting,How many table(s) are in this room?,4,
38,arkitscenes,42897629,object_counting,How many chair(s) are in this room?,5,
39,arkitscenes,42897629,object_counting,How many sofa(s) are in this room?,2,
40,arkitscenes,42897629,object_counting,How many washer(s) are in this room?,2,
41,arkitscenes,42897647,object_counting,How many sofa(s) are in this room?,2,
42,arkitscenes,42897647,object_counting,How many table(s) are in this room?,4,
43,arkitscenes,42897688,object_counting,How many chair(s) are in this room?,2,
44,arkitscenes,42898486,object_counting,How many sofa(s) are in this room?,2,
45,arkitscenes,42898486,object_counting,How many table(s) are in this room?,3,
46,arkitscenes,42898486,object_counting,How many stool(s) are in this room?,2,
47,arkitscenes,42898527,object_counting,How many chair(s) are in this room?,2,
48,arkitscenes,42898581,object_counting,How many bed(s) are in this room?,2,
49,arkitscenes,42898849,object_counting,How many chair(s) are in this room?,8,
50,arkitscenes,42898849,object_counting,How many sofa(s) are in this room?,2,
51,arkitscenes,42898849,object_counting,How many table(s) are in this room?,4,
52,arkitscenes,42898869,object_counting,How many sofa(s) are in this room?,2,
53,arkitscenes,42899461,object_counting,How many table(s) are in this room?,3,
54,arkitscenes,42899461,object_counting,How many chair(s) are in this room?,4,
55,arkitscenes,42899612,object_counting,How many table(s) are in this room?,3,
56,arkitscenes,42899612,object_counting,How many stool(s) are in this room?,2,
57,arkitscenes,42899685,object_counting,How many sofa(s) are in this room?,3,
58,arkitscenes,42899685,object_counting,How many table(s) are in this room?,3,
59,arkitscenes,42899685,object_counting,How many tv(s) are in this room?,2,
60,arkitscenes,42899685,object_counting,How many chair(s) are in this room?,4,
61,arkitscenes,42899696,object_counting,How many table(s) are in this room?,2,
62,arkitscenes,42899712,object_counting,How many sofa(s) are in this room?,3,
63,arkitscenes,42899712,object_counting,How many table(s) are in this room?,2,
64,arkitscenes,42899712,object_counting,How many chair(s) are in this room?,2,
65,arkitscenes,44358436,object_counting,How many table(s) are in this room?,2,
66,arkitscenes,44358436,object_counting,How many chair(s) are in this room?,3,
67,arkitscenes,44358442,object_counting,How many table(s) are in this room?,2,
68,arkitscenes,44358451,object_counting,How many washer(s) are in this room?,2,
69,arkitscenes,44358499,object_counting,How many table(s) are in this room?,2,
70,arkitscenes,44358499,object_counting,How many sofa(s) are in this room?,2,
71,arkitscenes,44358499,object_counting,How many chair(s) are in this room?,4,
72,arkitscenes,44358518,object_counting,How many sofa(s) are in this room?,2,
73,arkitscenes,44358518,object_counting,How many table(s) are in this room?,2,
74,arkitscenes,44358518,object_counting,How many chair(s) are in this room?,2,
75,arkitscenes,44358518,object_counting,How many tv(s) are in this room?,2,
76,arkitscenes,44358536,object_counting,How many toilet(s) are in this room?,2,
77,arkitscenes,45260856,object_counting,How many chair(s) are in this room?,4,
78,arkitscenes,45260905,object_counting,How many sofa(s) are in this room?,3,
79,arkitscenes,45260905,object_counting,How many table(s) are in this room?,2,
80,arkitscenes,45260928,object_counting,How many chair(s) are in this room?,5,
81,arkitscenes,45260928,object_counting,How many table(s) are in this room?,2,
82,arkitscenes,45261121,object_counting,How many chair(s) are in this room?,2,
83,arkitscenes,45261142,object_counting,How many sofa(s) are in this room?,2,
84,arkitscenes,45261142,object_counting,How many table(s) are in this room?,2,
85,arkitscenes,45261142,object_counting,How many chair(s) are in this room?,4,
86,arkitscenes,45261620,object_counting,How many sofa(s) are in this room?,3,
87,arkitscenes,45662924,object_counting,How many chair(s) are in this room?,6,
88,arkitscenes,45662924,object_counting,How many stool(s) are in this room?,4,
89,arkitscenes,45662943,object_counting,How many table(s) are in this room?,2,
90,arkitscenes,45662970,object_counting,How many washer(s) are in this room?,2,
91,arkitscenes,45662987,object_counting,How many sofa(s) are in this room?,2,
92,arkitscenes,45662987,object_counting,How many chair(s) are in this room?,2,
93,arkitscenes,45662987,object_counting,How many table(s) are in this room?,2,
94,arkitscenes,45663105,object_counting,How many stool(s) are in this room?,2,
95,arkitscenes,45663154,object_counting,How many sofa(s) are in this room?,2,
96,arkitscenes,47115460,object_counting,How many chair(s) are in this room?,2,
97,arkitscenes,47115525,object_counting,How many sofa(s) are in this room?,2,
98,arkitscenes,47115543,object_counting,How many table(s) are in this room?,2,
99,arkitscenes,47115543,object_counting,How many chair(s) are in this room?,6,
100,arkitscenes,47115543,object_counting,How many tv(s) are in this room?,2,
101,arkitscenes,47204552,object_counting,How many chair(s) are in this room?,7,
102,arkitscenes,47204578,object_counting,How many sofa(s) are in this room?,2,
103,arkitscenes,47204607,object_counting,How many sofa(s) are in this room?,2,
104,arkitscenes,47204607,object_counting,How many table(s) are in this room?,4,
105,arkitscenes,47331063,object_counting,How many tv(s) are in this room?,2,
106,arkitscenes,47331063,object_counting,How many table(s) are in this room?,2,
107,arkitscenes,47331063,object_counting,How many chair(s) are in this room?,2,
108,arkitscenes,47331262,object_counting,How many sofa(s) are in this room?,3,
109,arkitscenes,47331262,object_counting,How many table(s) are in this room?,2,
110,arkitscenes,47331262,object_counting,How many chair(s) are in this room?,6,
111,arkitscenes,47331319,object_counting,How many chair(s) are in this room?,3,
112,arkitscenes,47331644,object_counting,How many stool(s) are in this room?,3,
113,arkitscenes,47331644,object_counting,How many table(s) are in this room?,5,
114,arkitscenes,47331644,object_counting,How many chair(s) are in this room?,5,
115,arkitscenes,47331654,object_counting,How many chair(s) are in this room?,2,
116,arkitscenes,47331668,object_counting,How many stool(s) are in this room?,2,
117,arkitscenes,47331970,object_counting,How many chair(s) are in this room?,5,
118,arkitscenes,47331970,object_counting,How many sofa(s) are in this room?,4,
119,arkitscenes,47331972,object_counting,How many sofa(s) are in this room?,3,
120,arkitscenes,47331972,object_counting,How many table(s) are in this room?,3,
121,arkitscenes,47331972,object_counting,How many chair(s) are in this room?,5,
122,arkitscenes,47331990,object_counting,How many sofa(s) are in this room?,2,
123,arkitscenes,47332886,object_counting,How many bed(s) are in this room?,2,
